,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_std,rcp45_max,rcp85_mean,rcp85_std,rcp85_max,1990_2019_mean,1990_2019_std,1990_2019_max,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,18.71,0.39,20.0,21.17,0.81,22.82,22.26,1.83,26.38,19.43,0.44,20.19,3.0,3.0
1,"Amchitka, AK, Site",AMC,AK,4.83,0.22,5.3,6.59,0.6,7.4,7.37,1.31,9.76,5.34,0.3,5.8,3.0,3.0
2,"Bluewater, NM, Disposal Site",BLU,NM,18.71,0.39,20.0,21.16,0.79,22.35,22.25,1.81,25.57,19.43,0.44,20.19,3.0,3.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,30.0,0.39,30.86,31.3,0.44,31.96,31.91,0.97,33.86,30.54,0.26,30.86,3.0,3.0
4,"Bronco, CO, Site",BRO,CO,15.7,0.4,17.02,18.14,0.8,19.35,19.27,1.87,23.68,16.43,0.44,17.22,3.0,3.0
5,"Burrell, PA, Disposal Site",BUR,PA,16.6,0.36,17.32,18.84,0.73,19.94,19.82,1.6,22.76,17.29,0.43,17.98,3.0,3.0
6,"Burris Park, CA, Site",BRP,CA,25.12,0.29,25.84,27.18,0.69,28.73,28.03,1.47,31.37,25.7,0.39,26.46,3.0,3.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,16.72,0.37,17.93,18.93,0.74,20.71,19.9,1.6,22.82,17.41,0.43,18.06,3.0,3.0
8,"Casper, WY, Calibration Model",CSC,WY,15.96,0.34,16.7,18.25,0.78,20.19,19.34,1.78,23.37,16.61,0.44,17.47,3.0,3.0
9,"Central Nevada Test Area, NV",CNT,NV,19.14,0.36,19.98,21.62,0.8,22.68,22.66,1.76,26.67,19.85,0.46,20.72,3.0,3.0
10,"Colonie, NY, Site",CLN,NY,15.23,0.32,15.95,17.56,0.79,19.43,18.6,1.69,22.61,15.93,0.43,16.6,3.0,3.0
11,"Durango, CO, Disposal Site",DUD,CO,18.28,0.37,19.13,20.74,0.8,21.92,21.84,1.84,26.18,19.0,0.42,19.75,3.0,3.0
12,"Durango, CO, Processing Site",DUP,CO,15.42,0.4,16.76,17.87,0.81,19.65,18.95,1.82,22.43,16.15,0.44,16.88,3.0,3.0
13,"Edgemont, SD, Disposal Site",EDG,SD,17.84,0.34,18.54,20.13,0.78,22.03,21.12,1.68,24.15,18.46,0.45,19.24,3.0,3.0
14,"Falls City, TX, Disposal Site",FCT,TX,27.61,0.31,28.57,29.56,0.64,30.91,30.44,1.46,33.67,28.14,0.37,28.7,3.0,3.0
15,"Fernald Preserve, OH, Site",FER,OH,17.75,0.33,18.5,20.01,0.75,21.8,21.01,1.63,24.0,18.41,0.45,19.12,3.0,3.0
16,"Gasbuggy, NM, Site",GSB,NM,18.05,0.4,19.41,20.43,0.79,21.62,21.51,1.82,25.77,18.75,0.42,19.44,3.0,3.0
17,"George West, TX, Calibration Model",GWC,TX,28.22,0.29,29.05,30.13,0.61,31.1,31.01,1.43,34.13,28.75,0.35,29.29,3.0,3.0
18,"Gnome-Coach, NM, Site",GNO,NM,25.39,0.3,26.15,27.66,0.74,29.03,28.67,1.73,32.39,25.98,0.4,26.63,3.0,3.0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,18.67,0.41,20.03,21.16,0.82,23.22,22.28,1.87,26.79,19.42,0.45,20.19,3.0,3.0
20,"Grand Junction, CO, Calibration Model",GJC,CO,18.66,0.38,19.47,21.15,0.8,22.35,22.28,1.87,26.79,19.4,0.43,20.19,3.0,3.0
21,"Grand Junction, CO, Disposal Site",GRJ,CO,17.94,0.4,19.29,20.4,0.8,21.58,21.51,1.84,24.99,18.68,0.44,19.45,3.0,3.0
22,"Grand Junction, CO, Processing Site",GJT,CO,18.66,0.38,19.47,21.15,0.8,22.35,22.28,1.87,26.79,19.4,0.43,20.19,3.0,3.0
23,"Grand Junction, CO, Site",GJO,CO,18.66,0.38,19.47,21.15,0.8,22.35,22.27,1.85,25.76,19.4,0.43,20.19,3.0,3.0
24,"Grants, NM, Calibration Model",GNC,NM,18.7,0.37,19.56,21.16,0.79,22.35,22.25,1.81,25.57,19.41,0.43,20.19,3.0,3.0
25,"Green River, UT, Disposal Site",GRN,UT,19.69,0.4,21.02,22.25,0.84,24.38,23.36,1.88,27.92,20.44,0.46,21.25,3.0,3.0
26,"Gunnison, CO, Disposal Site",GUD,CO,12.27,0.39,13.55,14.59,0.77,15.75,15.64,1.76,19.03,12.96,0.41,13.66,3.0,3.0
27,"Gunnison, CO, Processing Site",GUP,CO,12.26,0.36,13.06,14.59,0.77,15.75,15.64,1.76,19.03,12.94,0.4,13.66,3.0,3.0
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,17.59,0.33,18.22,19.97,0.8,21.9,21.0,1.74,25.09,18.22,0.49,19.16,3.0,3.0
